Method,Fmax,Smin,AUPR,AUC
blast,0.432,27.997,0.352,0.739
DeepGO-SE,0.560,24.878,0.546,0.677
ESM2(8M)+MLP,0.449,27.556,0.369,0.664
predictions,0.449,27.556,0.369,0.850
Naive,0.330,32.647,0.150,0.500
predictions,0.568,23.483,0.518,0.914
predictions_blast,0.432,27.847,0.352,0.739
predictions_esm2,0.535,26.334,0.475,0.878
predictions_t5,0.523,26.142,0.485,0.889
ProteinExt3.1-BLAST,0.473,22.710,0.447,0.734
ProteinExt3.1-ESM2-L20,0.583,22.834,0.580,0.918
ProteinExt3.1-ESM2,0.543,24.340,0.549,0.906
ProteinExt3.1-ProtT5,0.537,26.092,0.526,0.902
ProteinExt3.1-noBLAST,0.581,22.911,0.577,0.920
ProteinExt3.1,0.597,21.560,0.559,0.926
TALE,0.468,29.046,0.473,0.701
